[1/4] loading table of contents (cached under C:\Users\yairz\Downloads\FutureOS-main\FutureOS-main\Sfarim\tools\output\_cache) ...
[2/4] loading Hebrew text index (books.json, cached) ...
      6211 titles have a Hebrew version available
[3/4] building/verifying category tree (idempotent) ...
[4/4] 6211 Hebrew books matched to the TOC; 0 already imported, 6211 to fetch now
  2350/6211 books | 564255 segments | 398s elapsed | ETA 10.9min
  2375/6211 books | 565059 segments | 398s elapsed | ETA 10.7min
  2400/6211 books | 571822 segments | 399s elapsed | ETA 10.6min
  2425/6211 books | 576999 segments | 400s elapsed | ETA 10.4min
  2450/6211 books | 580648 segments | 401s elapsed | ETA 10.3min
  2475/6211 books | 585665 segments | 402s elapsed | ETA 10.1min
  2500/6211 books | 589189 segments | 402s elapsed | ETA 10.0min
  2525/6211 books | 596714 segments | 404s elapsed | ETA 9.8min
  2550/6211 books | 600532 segments | 407s elapsed | ETA 9.7min
  2575/6211 books | 604623 segments | 408s elapsed | ETA 9.6min
  2600/6211 books | 613952 segments | 409s elapsed | ETA 9.5min
  2625/6211 books | 625663 segments | 410s elapsed | ETA 9.3min
  2650/6211 books | 631757 segments | 411s elapsed | ETA 9.2min
  2675/6211 books | 635088 segments | 412s elapsed | ETA 9.1min
  2700/6211 books | 636537 segments | 413s elapsed | ETA 8.9min
  2725/6211 books | 637379 segments | 414s elapsed | ETA 8.8min
  2750/6211 books | 640826 segments | 414s elapsed | ETA 8.7min
  2775/6211 books | 654900 segments | 415s elapsed | ETA 8.6min
  2800/6211 books | 673171 segments | 417s elapsed | ETA 8.5min
  2825/6211 books | 673175 segments | 417s elapsed | ETA 8.3min
  2850/6211 books | 673233 segments | 417s elapsed | ETA 8.2min
  2875/6211 books | 673341 segments | 417s elapsed | ETA 8.1min
  2900/6211 books | 673496 segments | 417s elapsed | ETA 7.9min
  2925/6211 books | 679427 segments | 419s elapsed | ETA 7.8min
  2950/6211 books | 686818 segments | 420s elapsed | ETA 7.7min
  2975/6211 books | 689980 segments | 424s elapsed | ETA 7.7min
  3000/6211 books | 690107 segments | 424s elapsed | ETA 7.6min
  3025/6211 books | 691030 segments | 424s elapsed | ETA 7.4min
  3050/6211 books | 709375 segments | 425s elapsed | ETA 7.3min
  3075/6211 books | 725370 segments | 426s elapsed | ETA 7.2min
  3100/6211 books | 741688 segments | 427s elapsed | ETA 7.1min
  3125/6211 books | 748948 segments | 433s elapsed | ETA 7.1min
  3150/6211 books | 751910 segments | 434s elapsed | ETA 7.0min
  3175/6211 books | 755178 segments | 434s elapsed | ETA 6.9min
  3200/6211 books | 766152 segments | 435s elapsed | ETA 6.8min
  3225/6211 books | 774611 segments | 436s elapsed | ETA 6.7min
  3250/6211 books | 777715 segments | 437s elapsed | ETA 6.6min
  3275/6211 books | 779185 segments | 439s elapsed | ETA 6.6min
  3300/6211 books | 780514 segments | 440s elapsed | ETA 6.5min
  3325/6211 books | 780990 segments | 440s elapsed | ETA 6.4min
  3350/6211 books | 780990 segments | 440s elapsed | ETA 6.3min
  3375/6211 books | 781701 segments | 440s elapsed | ETA 6.2min
  3400/6211 books | 782393 segments | 440s elapsed | ETA 6.1min
  3425/6211 books | 782936 segments | 441s elapsed | ETA 6.0min
  3450/6211 books | 783833 segments | 441s elapsed | ETA 5.9min
  3475/6211 books | 787746 segments | 441s elapsed | ETA 5.8min
  3500/6211 books | 792726 segments | 442s elapsed | ETA 5.7min
  3525/6211 books | 797477 segments | 442s elapsed | ETA 5.6min
  3550/6211 books | 802294 segments | 443s elapsed | ETA 5.5min
  3575/6211 books | 802556 segments | 443s elapsed | ETA 5.4min
  3600/6211 books | 807976 segments | 444s elapsed | ETA 5.4min
  3625/6211 books | 824059 segments | 445s elapsed | ETA 5.3min
  3650/6211 books | 831890 segments | 447s elapsed | ETA 5.2min
  3675/6211 books | 837384 segments | 448s elapsed | ETA 5.2min
  3700/6211 books | 838693 segments | 448s elapsed | ETA 5.1min
  3725/6211 books | 839249 segments | 448s elapsed | ETA 5.0min
  3750/6211 books | 840053 segments | 449s elapsed | ETA 4.9min
  3775/6211 books | 840793 segments | 449s elapsed | ETA 4.8min
  3800/6211 books | 843517 segments | 449s elapsed | ETA 4.8min
  3825/6211 books | 852653 segments | 450s elapsed | ETA 4.7min
  3850/6211 books | 870737 segments | 452s elapsed | ETA 4.6min
  ERROR importing 'Penei Moshe on Jerusalem Talmud Sanhedrin': Remote end closed connection without response
  3875/6211 books | 906015 segments | 456s elapsed | ETA 4.6min
  3900/6211 books | 917049 segments | 460s elapsed | ETA 4.5min
  3925/6211 books | 931467 segments | 461s elapsed | ETA 4.5min
  3950/6211 books | 941302 segments | 462s elapsed | ETA 4.4min
  3975/6211 books | 941876 segments | 462s elapsed | ETA 4.3min
  4000/6211 books | 944651 segments | 463s elapsed | ETA 4.3min
  4025/6211 books | 950497 segments | 463s elapsed | ETA 4.2min
  4050/6211 books | 953624 segments | 463s elapsed | ETA 4.1min
  4075/6211 books | 962312 segments | 464s elapsed | ETA 4.1min
  4100/6211 books | 983688 segments | 466s elapsed | ETA 4.0min
  4125/6211 books | 1000223 segments | 469s elapsed | ETA 4.0min
  4150/6211 books | 1014635 segments | 471s elapsed | ETA 3.9min
